#
# MI and Cosines
#
#
# mi	rmi	cos-mi	cos-rmi
-2.75699	-2.91677	-0.28871	-0.29079
-6.34631	-5.02882	-0.25240	-0.35773
-0.68552	-0.36128	0.675847	0.651114
2.091335	1.153870	0.768499	0.745356
-0.89442	-0.23211	-0.27046	-0.33407
-4.27346	-2.93751	-0.08212	-0.22865
-1.89884	-1.37565	-0.11829	-0.17996
0.428621	1.694482	0.355069	0.110291
-2.29918	-1.24168	-0.34141	-0.34614
1.126989	1.314224	0.725247	0.674781
-3.20480	-1.79776	-0.21654	-0.32885
-4.89307	-4.11815	-0.22570	-0.27305
-1.17293	-1.08080	0.587980	0.540602
-2.77981	-1.60365	-0.31736	-0.34758
-2.73669	-1.47471	-0.29042	-0.32131
-3.00302	-1.71459	-0.33640	-0.35540
-0.05167	1.120428	0.391203	0.220586
4.067250	3.763703	0.652281	0.631916
1.728518	2.290183	0.739818	0.714763
5.083066	5.988319	0.683799	0.537692
0.066563	2.085449	-0.06408	-0.19108
-0.02560	0.605822	0.675883	0.629466
0.982187	1.622045	0.150033	0.025845
0.496830	0.922019	0.723688	0.676268
0.684073	2.013723	0.717827	0.499535
-4.51277	-3.37409	-0.30445	-0.33668
-7.64084	-6.39235	-0.16178	-0.27937
0.633555	0.734649	0.643863	0.606402
-0.31099	0.476716	-0.20979	-0.24088
1.359056	1.757126	0.206773	0.084046
-1.27948	0.193679	0.573588	0.410228
-0.42319	-0.01489	0.416668	0.262355
1.438877	1.761956	0.487199	0.406319
-2.70157	-1.42226	-0.14395	-0.23062
-1.43046	-1.06792	0.436425	0.305067
0.430650	2.353995	0.633778	0.403552
0.173630	0.774622	0.550899	0.362178
1.185956	2.440854	0.357210	0.073583
3.115926	4.646167	0.783700	0.621752
-2.11878	-2.98457	0.364101	0.343945
-4.25058	-2.60949	0.296029	0.154568
-9.37078	-8.70638	0.211750	0.136555
-11.9404	-11.2209	0.275717	0.202548
-11.6054	-10.8459	0.316636	0.257498
-3.80839	-3.05958	0.218160	0.121263
-8.47194	-7.35017	0.339309	0.311449
-5.79970	-4.24634	0.325130	0.289174
-8.13558	-6.63388	0.322325	0.203729
-6.14806	-5.70077	0.223976	0.144005
-4.40591	-3.03986	0.329781	0.284247
-0.70816	1.807624	0.307924	-0.07173
1.276119	3.898263	0.128866	-0.01800
-2.57840	-0.18880	-0.27028	-0.16080
-3.80596	-1.88241	-0.20847	-0.25347
-2.00786	-1.81868	-0.26778	-0.26847
-2.39825	-0.72131	-0.25260	-0.06591
1.026739	3.663699	0.743334	0.831151
-3.12452	-1.34354	-0.33637	-0.26464
-3.48088	-1.20385	-0.32660	-0.05880
-3.62162	-2.32028	-0.36409	-0.31366
-3.61733	-2.09289	-0.35087	-0.19974
1.841957	3.203768	0.755336	0.812523
-0.81976	0.462956	0.122344	0.354919
-3.21392	-1.15590	-0.30939	-0.05214
0.320017	2.603111	0.635069	0.680263
-0.77642	0.699353	0.102192	0.369986
-2.21089	-1.65287	-0.12759	-0.01496
-2.64645	-1.43210	-0.20227	0.027642
-0.82065	-0.48529	0.015604	0.174782
-2.12082	0.030525	-0.16299	0.122382
-1.81801	1.172579	-0.16394	0.000894
-3.14606	-0.24900	-0.29312	0.099686
-4.73593	-4.36610	-0.31429	-0.25580
-0.61093	-0.12086	-0.18662	-0.09253
-1.45112	-0.61040	-0.06658	0.161062
-3.46873	-2.42755	-0.07247	0.082354
-2.29110	-0.01427	-0.21585	0.061020
-4.54698	-3.56626	-0.37910	-0.41396
-1.75190	-0.48290	-0.13529	0.151863
-2.34202	-2.62300	-0.26501	-0.32148
1.261691	2.580472	0.704100	0.776398
0.269055	1.943575	0.633855	0.706650
-3.29656	-1.30413	0.389969	0.540514
0.091848	0.781498	0.592422	0.669862
0.820589	2.139173	0.010564	0.248620
-0.72591	0.453765	0.272027	0.465290
-2.40163	-0.22856	-0.12844	0.123661
2.140481	2.985738	0.829088	0.862744
-3.36018	-2.51647	-0.33133	-0.27982
0.724311	1.656174	0.160876	0.380194
1.742992	3.806516	0.701850	0.794349
0.900132	2.331537	0.571988	0.683896
-0.84261	1.454396	0.248272	0.463342
0.786523	1.543526	0.490325	0.629212
1.421651	3.340106	0.744873	0.767568
